frame_idx,time_s,tracked_x_px,tracked_y_px,radius_px,X_cam_m,Y_cam_m,Z_cam_m,distance_cam_m,has_measurement,stab_x_ref_px,stab_y_ref_px,X_ground_m,Z_ground_m
0,0.0,499.5899963378906,144.6899871826172,11,0.19589996337890625,-1.253100128173828,6.0,6.132588093691042,1,499.5899963378906,144.6899871826172,1.401354193687439,7.320555686950684
1,0.03333333333333333,524.3440551757812,152.0056610107422,11,0.4434405517578125,-1.1799433898925782,6.0,6.130979197998837,1,524.4462280273438,152.0364227294922,1.487660527229309,7.184510707855225
2,0.06666666666666667,533.9931030273438,154.85653686523438,11,0.5399310302734375,-1.1514346313476562,6.0,6.133296603598985,1,534.2039794921875,154.914306640625,1.5215415954589844,7.131216526031494
3,0.1,539.4873046875,156.4795379638672,11,0.594873046875,-1.1352046203613282,6.0,6.1353535735105,1,539.734619140625,156.5585174560547,1.5407452583312988,7.100768089294434
4,0.13333333333333333,542.7821655273438,157.54873657226562,11,0.6278216552734375,-1.1245126342773437,6.0,6.1366675562131965,1,543.0813598632812,157.66746520996094,1.552365779876709,7.0802321434021
5,0.16666666666666666,545.0638427734375,157.97035217285156,11,0.650638427734375,-1.1202964782714844,6.0,6.138272929975674,1,545.4480590820312,158.135009765625,1.5605835914611816,7.071573734283447
6,0.2,546.65234375,158.25814819335938,11,0.6665234375,-1.1174185180664062,6.0,6.139452551918171,1,547.0796508789062,158.43533325195312,1.5662487745285034,7.066012382507324
7,0.23333333333333334,548.0602416992188,158.76780700683594,11,0.6806024169921875,-1.1123219299316407,6.0,6.140071638492702,1,548.580322265625,158.98516845703125,1.571459412574768,7.055830001831055
8,0.26666666666666666,548.69873046875,158.8006134033203,11,0.6869873046875,-1.111993865966797,6.0,6.140723240364247,1,549.1809692382812,158.98521423339844,1.573544979095459,7.0558295249938965
9,0.3,549.1001586914062,158.8071746826172,11,0.6910015869140625,-1.1119282531738282,6.0,6.141161749483884,1,549.609130859375,158.9920196533203,1.5750317573547363,7.055703163146973
10,0.3333333333333333,549.6527709960938,159.1146697998047,11,0.6965277099609375,-1.108853302001953,6.0,6.141230047482676,1,550.180908203125,159.28721618652344,1.577017068862915,7.050236701965332
11,0.36666666666666664,549.68408203125,159.00559997558594,11,0.6968408203125,-1.1099440002441405,6.0,6.14146259554935,1,550.2808837890625,159.18240356445312,1.577364206314087,7.052177906036377
12,0.4,550.8888549804688,159.336181640625,11,0.7088885498046875,-1.10663818359375,6.0,6.142244788791136,0,551.2040405273438,159.57411193847656,1.5805696249008179,7.044923782348633
13,0.43333333333333335,552.0936279296875,159.66676330566406,11,0.720936279296875,-1.1033323669433595,6.0,6.143052289436519,0,552.415283203125,159.88812255859375,1.5847753286361694,7.039108753204346
14,0.4666666666666667,553.2984008789062,159.99734497070312,11,0.7329840087890624,-1.1000265502929687,6.0,6.143885087506922,0,553.5855102539062,160.1875,1.5888385772705078,7.033564567565918
15,0.5,554.503173828125,160.3279266357422,11,0.74503173828125,-1.0967207336425782,6.0,6.144743172716651,0,554.8251342773438,160.5330352783203,1.5931428670883179,7.02716588973999
16,0.5333333333333333,555.7079467773438,160.65850830078125,11,0.7570794677734375,-1.0934149169921874,6.0,6.145626534473531,0,556.0653686523438,160.8728790283203,1.5974491834640503,7.020872592926025
17,0.5666666666666667,556.9127197265625,160.9890899658203,11,0.769127197265625,-1.0901091003417969,6.0,6.146535161879551,0,557.265380859375,161.18157958984375,1.6016159057617188,7.015155792236328
18,0.6,558.1174926757812,161.31967163085938,11,0.7811749267578125,-1.0868032836914063,6.0,6.147469043731533,0,558.321044921875,161.4681396484375,1.6052813529968262,7.0098490715026855
19,0.6333333333333333,559.322265625,161.65025329589844,11,0.79322265625,-1.0834974670410156,6.0,6.148428168521821,0,559.3311767578125,161.7515106201172,1.6087888479232788,7.00460147857666
20,0.6666666666666666,560.5270385742188,161.9808349609375,11,0.8052703857421875,-1.080191650390625,6.0,6.14941252443898,0,560.4939575195312,162.04904174804688,1.6128262281417847,6.999091625213623
21,0.7,561.7318115234375,162.31141662597656,11,0.817318115234375,-1.0768858337402343,6.0,6.15042209936852,0,561.8792724609375,162.41827392578125,1.6176363229751587,6.992254257202148
22,0.7333333333333333,562.9365844726562,162.64199829101562,11,0.8293658447265625,-1.0735800170898437,6.0,6.151456880893634,0,563.2376708984375,162.8152313232422,1.6223530769348145,6.984903335571289
23,0.7666666666666667,564.141357421875,162.9725799560547,11,0.84141357421875,-1.0702742004394532,6.0,6.152516856295957,0,564.5466918945312,163.22430419921875,1.6268982887268066,6.977327823638916
24,0.8,565.3461303710938,163.30316162109375,11,0.8534613037109375,-1.0669683837890624,6.0,6.153602012556338,0,565.7073974609375,163.61537170410156,1.6309285163879395,6.970085620880127
25,0.8333333333333334,566.5509033203125,163.6337432861328,11,0.865509033203125,-1.063662567138672,6.0,6.154712336355635,0,566.9168090820312,163.9469757080078,1.6351277828216553,6.963944911956787
26,0.8666666666666667,567.7556762695312,163.96432495117188,11,0.8775567626953125,-1.0603567504882812,6.0,6.155847814075519,0,568.1076049804688,164.27035522460938,1.6392625570297241,6.957956314086914
27,0.9,568.96044921875,164.29490661621094,11,0.8896044921875,-1.0570509338378906,6.0,6.157008431799305,0,569.2845458984375,164.54367065429688,1.6433491706848145,6.952895164489746
28,0.9333333333333333,570.1652221679688,164.62548828125,11,0.9016522216796875,-1.0537451171875,6.0,6.158194175312794,0,570.298095703125,164.7926025390625,1.646868348121643,6.948285102844238
29,0.9666666666666667,571.3699951171875,164.95606994628906,11,0.913699951171875,-1.0504393005371093,6.0,6.15940503010513,0,571.331787109375,165.05429077148438,1.6504576206207275,6.94343900680542
30,1.0,572.5747680664062,165.28665161132812,11,0.9257476806640625,-1.0471334838867188,6.0,6.160640981369685,0,572.4400634765625,165.327392578125,1.6543058156967163,6.938381671905518
31,1.0333333333333334,573.779541015625,165.6172332763672,11,0.93779541015625,-1.043827667236328,6.0,6.1619020140049425,0,573.5947265625,165.6286163330078,1.6583150625228882,6.932803153991699
32,1.0666666666666667,574.9843139648438,165.94781494140625,11,0.9498431396484375,-1.0405218505859375,6.0,6.163188112615417,0,574.8187866210938,165.95071411132812,1.6625652313232422,6.926838397979736
33,1.1,576.1890869140625,166.2783966064453,11,0.961890869140625,-1.037216033935547,6.0,6.164499261512576,0,576.1134033203125,166.24325561523438,1.667060375213623,6.921421051025391
34,1.1333333333333333,577.3938598632812,166.60897827148438,11,0.9739385986328125,-1.0339102172851562,6.0,6.165835444715784,0,577.3914794921875,166.5894317626953,1.67149817943573,6.915010452270508
35,1.1666666666666667,578.5986328125,166.93955993652344,11,0.985986328125,-1.0306044006347657,6.0,6.167196645953262,0,578.6216430664062,166.8874969482422,1.675769567489624,6.909490585327148
36,1.2,579.8034057617188,167.2701416015625,11,0.9980340576171876,-1.027298583984375,6.0,6.168582848663065,0,579.8352661132812,167.16709899902344,1.6799836158752441,6.904313087463379
37,1.2333333333333334,581.0081787109375,167.60072326660156,11,1.010081787109375,-1.0239927673339844,6.0,6.169994035994069,0,581.0636596679688,167.4905548095703,1.6842488050460815,6.898323059082031
38,1.2666666666666666,582.2129516601562,167.93130493164062,11,1.0221295166015625,-1.0206869506835938,6.0,6.1714301908069835,0,582.266845703125,167.8183135986328,1.6884264945983887,6.892253398895264
39,1.3,583.417724609375,168.2618865966797,11,1.03417724609375,-1.017381134033203,6.0,6.1728912956753685,0,583.4560546875,168.13522338867188,1.6925557851791382,6.886384963989258
40,1.3333333333333333,584.6224975585938,168.59246826171875,11,1.0462249755859374,-1.0140753173828125,6.0,6.174377332886682,0,584.5797729492188,168.45423889160156,1.6964575052261353,6.880476951599121
41,1.3666666666666667,585.8272705078125,168.9230499267578,11,1.058272705078125,-1.0107695007324218,6.0,6.175888284443319,0,585.7178344726562,168.83340454101562,1.700409173965454,6.87345552444458
42,1.4,587.0320434570312,169.25363159179688,11,1.0703204345703126,-1.0074636840820312,6.0,6.177424132063697,0,586.8924560546875,169.24188232421875,1.704487681388855,6.865890979766846
43,1.4333333333333333,588.23681640625,169.58421325683594,11,1.0823681640625,-1.0041578674316407,6.0,6.178984857183329,0,588.1721801757812,169.71348571777344,1.7089312076568604,6.8571577072143555
44,1.4666666666666666,589.4415893554688,169.914794921875,11,1.0944158935546875,-1.00085205078125,6.0,6.180570440955927,0,589.1293334960938,170.1376190185547,1.7122546434402466,6.849303245544434
45,1.5,590.6463623046875,170.24537658691406,11,1.106463623046875,-0.9975462341308594,6.0,6.182180864254513,0,590.064697265625,170.59873962402344,1.715502381324768,6.840764045715332
46,1.5333333333333334,591.8511352539062,170.57595825195312,11,1.1185113525390624,-0.9942404174804688,6.0,6.183816107672551,0,591.4506225585938,171.05445861816406,1.720314621925354,6.832324981689453
47,1.5666666666666667,593.055908203125,170.9065399169922,11,1.13055908203125,-0.9909346008300781,6.0,6.185476151525088,0,592.9403686523438,171.39389038085938,1.7254873514175415,6.826038837432861
48,1.6,594.2606811523438,171.23712158203125,11,1.1426068115234376,-0.9876287841796875,6.0,6.18716097584991,0,594.3003540039062,171.65269470214844,1.7302095890045166,6.821246147155762
49,1.6333333333333333,595.4654541015625,171.5677032470703,11,1.154654541015625,-0.9843229675292968,6.0,6.1888705604087155,0,595.0082397460938,171.91879272460938,1.7326674461364746,6.816318511962891
50,1.6666666666666667,596.6702270507812,171.89828491210938,11,1.1667022705078125,-0.9810171508789063,6.0,6.190604884688301,0,595.875732421875,172.05160522460938,1.7356796264648438,6.813858985900879
51,1.7,597.875,172.22886657714844,11,1.17875,-0.9777113342285156,6.0,6.192363927901759,0,596.3389892578125,172.25112915039062,1.7372881174087524,6.810164451599121
52,1.7333333333333334,599.0797729492188,172.5594482421875,11,1.1907977294921874,-0.974405517578125,6.0,6.194147668989693,0,597.805908203125,172.50547790527344,1.7423815727233887,6.805454254150391
53,1.7666666666666666,600.2845458984375,172.89002990722656,11,1.202845458984375,-0.9710997009277343,6.0,6.19595608662144,0,599.1926879882812,172.73272705078125,1.7471967935562134,6.80124568939209
54,1.8,601.4893188476562,173.22061157226562,11,1.2148931884765626,-0.9677938842773437,6.0,6.197789159196316,0,600.740234375,173.0484161376953,1.7525702714920044,6.7953996658325195
55,1.8333333333333333,602.694091796875,173.5511932373047,11,1.22694091796875,-0.9644880676269532,6.0,6.199646864844866,0,601.756103515625,173.28652954101562,1.7560975551605225,6.790990352630615
56,1.8666666666666667,603.8988647460938,173.88177490234375,11,1.2389886474609375,-0.9611822509765625,6.0,6.20152918143013,0,602.7906494140625,173.59901428222656,1.7596898078918457,6.785203456878662
57,1.9,605.1036376953125,174.2123565673828,11,1.251036376953125,-0.9578764343261719,6.0,6.2034360865489235,0,603.7391357421875,173.89720153808594,1.7629830837249756,6.779681205749512
