frame_idx,time_s,x_px,y_px,radius_px,X_m,Y_m,Z_m,distance_m
0,0.0,549,159,11,0.69,-1.11,6.0,6.1407002857980295
1,0.03333333333333333,548,159,11,0.68,-1.11,6.0,6.139584676507035
2,0.06666666666666667,548,159,11,0.68,-1.11,6.0,6.139584676507035
3,0.1,548,159,11,0.68,-1.11,6.0,6.139584676507035
4,0.13333333333333333,547,159,11,0.67,-1.11,6.0,6.138485155150251
5,0.16666666666666666,547,158,11,0.67,-1.12,6.0,6.140301295539169
6,0.2,547,158,11,0.67,-1.12,6.0,6.140301295539169
7,0.23333333333333334,548,159,11,0.68,-1.11,6.0,6.139584676507035
8,0.26666666666666666,547,158,11,0.67,-1.12,6.0,6.140301295539169
9,0.3,547,158,11,0.67,-1.12,6.0,6.140301295539169
10,0.3333333333333333,548,159,11,0.68,-1.11,6.0,6.139584676507035
11,0.36666666666666664,547,158,11,0.67,-1.12,6.0,6.140301295539169
12,0.4,,,,,,,
13,0.43333333333333335,,,,,,,
14,0.4666666666666667,,,,,,,
15,0.5,,,,,,,
16,0.5333333333333333,,,,,,,
17,0.5666666666666667,,,,,,,
18,0.6,,,,,,,
19,0.6333333333333333,,,,,,,
20,0.6666666666666666,,,,,,,
21,0.7,,,,,,,
22,0.7333333333333333,,,,,,,
23,0.7666666666666667,,,,,,,
24,0.8,,,,,,,
25,0.8333333333333334,,,,,,,
26,0.8666666666666667,,,,,,,
27,0.9,,,,,,,
28,0.9333333333333333,,,,,,,
29,0.9666666666666667,,,,,,,
30,1.0,,,,,,,
31,1.0333333333333334,,,,,,,
32,1.0666666666666667,,,,,,,
33,1.1,,,,,,,
34,1.1333333333333333,,,,,,,
35,1.1666666666666667,,,,,,,
36,1.2,,,,,,,
37,1.2333333333333334,,,,,,,
38,1.2666666666666666,,,,,,,
39,1.3,,,,,,,
40,1.3333333333333333,,,,,,,
41,1.3666666666666667,,,,,,,
42,1.4,,,,,,,
43,1.4333333333333333,,,,,,,
44,1.4666666666666666,,,,,,,
45,1.5,,,,,,,
46,1.5333333333333334,,,,,,,
47,1.5666666666666667,,,,,,,
48,1.6,,,,,,,
49,1.6333333333333333,,,,,,,
50,1.6666666666666667,,,,,,,
51,1.7,,,,,,,
52,1.7333333333333334,,,,,,,
53,1.7666666666666666,,,,,,,
54,1.8,,,,,,,
55,1.8333333333333333,,,,,,,
56,1.8666666666666667,,,,,,,
57,1.9,,,,,,,
58,1.9333333333333333,,,,,,,
59,1.9666666666666666,,,,,,,
60,2.0,,,,,,,
61,2.033333333333333,,,,,,,
62,2.066666666666667,,,,,,,
63,2.1,,,,,,,
64,2.1333333333333333,,,,,,,
65,2.1666666666666665,,,,,,,
66,2.2,551,161,9,0.8677777777777778,-1.3322222222222222,7.333333333333333,7.5037078900211345
67,2.2333333333333334,551,161,9,0.8677777777777778,-1.3322222222222222,7.333333333333333,7.5037078900211345
68,2.2666666666666666,551,161,9,0.8677777777777778,-1.3322222222222222,7.333333333333333,7.5037078900211345
69,2.3,551,161,10,0.7809999999999999,-1.199,6.6,6.753337101019021
70,2.3333333333333335,551,161,9,0.8677777777777778,-1.3322222222222222,7.333333333333333,7.5037078900211345
71,2.3666666666666667,551,161,9,0.8677777777777778,-1.3322222222222222,7.333333333333333,7.5037078900211345
72,2.4,550,162,9,0.8555555555555554,-1.32,7.333333333333333,7.500143537721112
73,2.433333333333333,549,159,11,0.69,-1.11,6.0,6.1407002857980295
74,2.466666666666667,549,159,11,0.69,-1.11,6.0,6.1407002857980295
75,2.5,549,159,11,0.69,-1.11,6.0,6.1407002857980295
76,2.533333333333333,550,159,11,0.7,-1.11,6.0,6.141831974256541
77,2.566666666666667,550,159,11,0.7,-1.11,6.0,6.141831974256541
78,2.6,550,159,11,0.7,-1.11,6.0,6.141831974256541
79,2.6333333333333333,550,159,11,0.7,-1.11,6.0,6.141831974256541
80,2.6666666666666665,550,159,11,0.7,-1.11,6.0,6.141831974256541
81,2.7,550,159,11,0.7,-1.11,6.0,6.141831974256541
82,2.7333333333333334,550,159,11,0.7,-1.11,6.0,6.141831974256541
83,2.7666666666666666,550,159,11,0.7,-1.11,6.0,6.141831974256541
84,2.8,549,159,11,0.69,-1.11,6.0,6.1407002857980295
85,2.8333333333333335,550,158,11,0.7,-1.12,6.0,6.143647125283157
86,2.8666666666666667,550,158,11,0.7,-1.12,6.0,6.143647125283157
87,2.9,550,159,11,0.7,-1.11,6.0,6.141831974256541
88,2.933333333333333,550,159,11,0.7,-1.11,6.0,6.141831974256541
89,2.966666666666667,550,159,11,0.7,-1.11,6.0,6.141831974256541
90,3.0,549,158,11,0.69,-1.12,6.0,6.142515771245525
91,3.033333333333333,550,159,11,0.7,-1.11,6.0,6.141831974256541
92,3.066666666666667,549,159,11,0.69,-1.11,6.0,6.1407002857980295
93,3.1,550,160,11,0.7,-1.1,6.0,6.1400325732035
94,3.1333333333333333,550,160,11,0.7,-1.1,6.0,6.1400325732035
95,3.1666666666666665,551,161,11,0.71,-1.09,6.0,6.139397364562747
96,3.2,553,163,10,0.8029999999999999,-1.1769999999999998,6.6,6.752046948888907
97,3.2333333333333334,553,164,11,0.73,-1.06,6.0,6.136489224304073
98,3.2666666666666666,841,154,9,4.412222222222222,-1.4177777777777778,7.333333333333333,8.674997207100985
99,3.3,558,164,10,0.8579999999999999,-1.166,6.6,6.756901656824672
100,3.3333333333333335,561,163,10,0.891,-1.1769999999999998,6.6,6.763076962448379
101,3.3666666666666667,565,164,11,0.85,-1.06,6.0,6.151918399978985
