frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m
108,3.6000,788,215,14,1.162857,-1.139286,7.316617,7.495538
109,3.6333,793,216,14,1.202143,-1.131429,7.316617,7.500544
110,3.6667,797,217,13,1.328462,-1.210000,7.879434,8.081731
111,3.7000,800,216,15,1.173333,-1.056000,6.828842,7.008918
112,3.7333,802,218,14,1.272857,-1.115714,7.316617,7.509851
113,3.7667,804,220,14,1.288571,-1.100000,7.316617,7.510213
114,3.8000,804,221,14,1.288571,-1.092143,7.316617,7.509066
115,3.8333,803,222,14,1.280714,-1.084286,7.316617,7.506583
116,3.8667,794,220,14,1.210000,-1.100000,7.316617,7.497132
117,3.9000,786,216,15,1.070667,-1.056000,6.828842,6.992464
118,3.9333,778,218,15,1.012000,-1.041333,6.828842,6.981519
119,3.9667,773,219,14,1.045000,-1.107857,7.316617,7.473437
120,4.0000,765,219,14,0.982143,-1.107857,7.316617,7.464907
121,4.0333,759,219,14,0.935000,-1.107857,7.316617,7.458851
122,4.0667,751,219,14,0.872143,-1.107857,7.316617,7.451232
123,4.1000,747,219,14,0.840714,-1.107857,7.316617,7.447619
124,4.1333,741,219,14,0.793571,-1.107857,7.316617,7.442445
125,4.1667,745,221,14,0.825000,-1.092143,7.316617,7.443540
126,4.2000,735,220,14,0.746429,-1.100000,7.316617,7.436399
127,4.2333,736,219,14,0.754286,-1.107857,7.316617,7.438358
128,4.2667,727,216,14,0.683571,-1.131429,7.316617,7.435071
129,4.3000,730,219,14,0.707143,-1.107857,7.316617,7.433726
130,4.3333,723,220,14,0.652143,-1.100000,7.316617,7.427528
131,4.3667,723,221,14,0.652143,-1.092143,7.316617,7.426368
132,4.4000,715,223,14,0.589286,-1.076429,7.316617,7.418816
133,4.4333,712,221,14,0.565714,-1.092143,7.316617,7.419278
134,4.4667,706,220,14,0.518571,-1.100000,7.316617,7.416994
135,4.5000,703,220,14,0.495000,-1.100000,7.316617,7.415383
136,4.5333,701,220,14,0.479286,-1.100000,7.316617,7.414351
