frame,time,X,Y,Z,u_cur,v_cur,u_ref,v_ref
226,7.533333333333333,3.7370829582214355,0.05481034517288208,7.558211572428949,955.5,8.0,955.5,8.0
227,7.566666666666666,3.752577066421509,0.06436523050069809,6.518950788837512,955.5,9.5,955.5,9.5
228,7.6,3.773236036300659,0.0771050751209259,7.974314798580788,955.5,11.5,955.5,11.5
230,7.666666666666667,3.8083019256591797,0.07973991334438324,8.666110514359072,956.0,12.0,956.0,12.0
233,7.766666666666667,3.7381703853607178,0.07447024434804916,5.638712490748264,955.0,11.0,955.0,11.0
263,8.766666666666666,3.597907066345215,0.06393091380596161,6.101645458385502,953.0,9.0,953.0,9.0
264,8.8,3.463895797729492,0.07623644918203354,4.885502873971972,950.5,10.5,950.5,10.5
265,8.833333333333334,3.122126340866089,0.09334837645292282,5.0038046577467385,944.5,12.149999618530273,944.5,12.149999618530273
266,8.866666666666667,2.7824230194091797,0.1117342934012413,5.331386673277422,938.5,14.0,938.5,14.0
267,8.9,2.029731273651123,0.1223025768995285,5.993756988139109,926.0,13.5,926.0,13.5
268,8.933333333333334,1.7203909158706665,0.12143394351005554,5.993756988139109,921.0,12.5,921.0,12.5
269,8.966666666666667,1.0625672340393066,0.13353680074214935,6.343453868033898,910.0,12.5,910.0,12.5
270,9.0,0.6140509843826294,0.14178873598575592,6.222480930248366,902.5,12.5,902.5,12.5
